FID_1;LABEL;Count_;FID_12;Annee;Saison;LAT;LONG;LAT_D;LONG_D;Esp1;Pres_Esp1;Esp2;Pres_Esp2;Salinite;Temp;DO;pH
0;CY49;3;0;2020;printemps;31,8425;-10,96944;31,84250000000;-10,96944000000;0,00000000000;0;41,55000000000;1;36,35000000000;18,41000000000;5,10100000000;7,93000000000
1;DZ49;1;3982;2020;printemps;31,939167;-10,73056;31,93916700000;-10,73056000000;0,00000000000;0;0,00000000000;0;36,33000000000;18,03000000000;5,11200000000;7,93970000000
2;DA49;1;3983;2020;printemps;31,946944;-10,55556;31,94694400000;-10,55556000000;0,00000000000;0;0,00000000000;0;36,32800000000;18,08000000000;5,10900000000;7,93960000000
3;DB49;2;3984;2020;printemps;31,970278;-10,3611;31,97027800000;-10,36110000000;0,00000000000;0;0,00000000000;0;36,32800000000;18,29000000000;5,19900000000;7,93960000000
4;DC49;7;1;2020;printemps;31,872778;-10,167222;31,87277800000;-10,16722200000;0,00000000000;0;2661,05000000000;1;36,34000000000;18,30000000000;5,11300000000;7,93980000000
5;DD49;6;3;2020;printemps;31,857778;-10,132222;31,85777800000;-10,13222200000;0,00000000000;0;416,55000000000;1;36,33900000000;18,14000000000;5,11200000000;7,96990000000
6;DZ50;2;5;2020;printemps;31,832222;-10,71944;31,83222200000;-10,71944000000;0,00000000000;0;10,95000000000;1;36,32900000000;18,08000000000;5,11300000000;7,93030000000
7;DA50;2;6;2020;printemps;31,824167;-10,55;31,82416700000;-10,55000000000;0,00000000000;0;115,13000000000;1;36,32500000000;18,79000000000;5,11600000000;7,93990000000
8;DB50;3;7;2020;printemps;31,816389;-10,38056;31,81638900000;-10,38056000000;0,00000000000;0;58,17000000000;1;36,31600000000;18,34000000000;5,13300000000;7,93790000000
9;DC50;4;9;2020;printemps;31,808611;-10,20833;31,80861100000;-10,20833000000;0,00000000000;0;17,23000000000;1;36,33600000000;18,86000000000;5,11200000000;7,93980000000
10;DD50;7;10;2020;printemps;31,668333;-10,109444;31,66833300000;-10,10944400000;0,00000000000;0;52,70000000000;1;36,34800000000;18,20000000000;5,19500000000;7,93990000000
11;CY51;3;11;2020;printemps;31,6625;-10,91667;31,66250000000;-10,91667000000;0,00000000000;0;62,63000000000;1;36,37200000000;18,85000000000;5,17500000000;7,93000000000
12;DZ51;2;12;2020;printemps;31,656389;-10,73333;31,65638900000;-10,73333000000;0,00000000000;0;103,38000000000;1;36,36400000000;18,72000000000;5,17900000000;7,93000000000
